id,category,requirement,expectation,implementation,unit_test,integration_test,e2e_test,remote_validation,acceptance_criteria,status,blocker,ci_validation,human_approval,test
PF-003,PF,performance requirement,local interaction feedback is under 100ms,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,local interaction feedback is under 100ms,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
PF-004,PF,performance requirement,fixture chart render is under 300ms,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,fixture chart render is under 300ms,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
PF-005,PF,performance requirement,100-row evidence table render is under 500ms,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,100-row evidence table render is under 500ms,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
PF-006,PF,performance requirement,warm deployed health response is under 1 second,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,warm deployed health response is under 1 second,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
PF-007,PF,performance requirement,warm deployed shell p50/p95 are recorded,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,warm deployed shell p50/p95 are recorded,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
PF-008,PF,performance requirement,one evidence view does not create API N+1 calls,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,one evidence view does not create API N+1 calls,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-001,AS,asset/audio requirement,all manifest assets exist,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,all manifest assets exist,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-002,AS,asset/audio requirement,image dimensions match expectations,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,image dimensions match expectations,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-003,AS,asset/audio requirement,transparent assets have required alpha,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,transparent assets have required alpha,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-004,AS,asset/audio requirement,all images decode,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,all images decode,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-005,AS,asset/audio requirement,images stay within file-size budgets,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,images stay within file-size budgets,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-006,AS,asset/audio requirement,no giant unoptimized source is packaged,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,no giant unoptimized source is packaged,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-007,AS,asset/audio requirement,final audio exists,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,final audio exists,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-008,AS,asset/audio requirement,audio duration is at least 330 seconds,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,audio duration is at least 330 seconds,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-009,AS,asset/audio requirement,audio duration is at most 510 seconds,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,audio duration is at most 510 seconds,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-010,AS,asset/audio requirement,audio is smaller than 8.5MB,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,audio is smaller than 8.5MB,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-011,AS,asset/audio requirement,audio decodes successfully,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,audio decodes successfully,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-012,AS,asset/audio requirement,audio loudness is acceptable,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,audio loudness is acceptable,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-013,AS,asset/audio requirement,audio true peak is safe,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,audio true peak is safe,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-014,AS,asset/audio requirement,no mid-track silence exceeds 4 seconds,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,no mid-track silence exceeds 4 seconds,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
AS-015,AS,asset/audio requirement,production build references only production asset paths,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,production build references only production asset paths,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-001,SEC,security requirement,secret scan passes,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,secret scan passes,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-002,SEC,security requirement,dependency vulnerability scan passes threshold,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,dependency vulnerability scan passes threshold,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-003,SEC,security requirement,case truth is absent from Genie config,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,case truth is absent from Genie config,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-004,SEC,security requirement,case truth is absent from curated SQL definitions,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,case truth is absent from curated SQL definitions,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-005,SEC,security requirement,case truth is absent from frontend bundle strings,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,case truth is absent from frontend bundle strings,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-006,SEC,security requirement,prompt injection cannot reveal hidden truth,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,prompt injection cannot reveal hidden truth,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-007,SEC,security requirement,prompt injection cannot alter allowed control enum,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,prompt injection cannot alter allowed control enum,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-008,SEC,security requirement,arbitrary HTML response is escaped,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,arbitrary HTML response is escaped,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-009,SEC,security requirement,arbitrary JavaScript response is escaped,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,arbitrary JavaScript response is escaped,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-010,SEC,security requirement,SQL injection business-key filter is handled safely,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,SQL injection business-key filter is handled safely,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-011,SEC,security requirement,oversized chat input is rejected,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,oversized chat input is rejected,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-012,SEC,security requirement,path-traversal-like case ID is rejected,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,path-traversal-like case ID is rejected,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-013,SEC,security requirement,CORS/default proxy is not widened,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,CORS/default proxy is not widened,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-014,SEC,security requirement,API config contains no secrets,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,API config contains no secrets,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-015,SEC,security requirement,API health contains no secrets,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,API health contains no secrets,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-016,SEC,security requirement,structured error logs contain no secrets,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,structured error logs contain no secrets,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-017,SEC,security requirement,direct private endpoint is absent,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,direct private endpoint is absent,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-018,SEC,security requirement,arbitrary table cannot be selected through API,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,arbitrary table cannot be selected through API,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-019,SEC,security requirement,Genie query path stays in configured resource context,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,Genie query path stays in configured resource context,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
SEC-020,SEC,security requirement,production cannot enable fixture mode through a public query parameter,implemented in current runtime,tests/test_mdl6_requirement_coverage.py,,,scripts/live_sql_check.py; scripts/deployed_smoke.py,production cannot enable fixture mode through a public query parameter,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_requirement_coverage.py
CH-001,CH,Genie latency 5s,bounded response or retryable error,implemented in current runtime,tests/test_mdl6_resilience.py,tests/test_mdl6_resilience.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,bounded response or retryable error,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_resilience.py
CH-002,CH,Genie latency 30s,bounded timeout without state commit,implemented in current runtime,tests/test_mdl6_resilience.py,tests/test_mdl6_resilience.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,bounded timeout without state commit,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_resilience.py
CH-003,CH,Genie timeout,GENIE_TIMEOUT and retryable envelope,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,GENIE_TIMEOUT and retryable envelope,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
CH-004,CH,transient Genie 500,retry then success or bounded failure,implemented in current runtime,tests/test_mdl6_resilience.py,tests/test_mdl6_resilience.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,retry then success or bounded failure,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_resilience.py
CH-005,CH,persistent Genie 500,circuit opens and state is preserved,implemented in current runtime,tests/test_mdl6_circuit_breaker.py,tests/test_mdl6_circuit_breaker.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,circuit opens and state is preserved,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_circuit_breaker.py
CH-006,CH,malformed Genie JSON,GENIE_MALFORMED_PROTOCOL,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,GENIE_MALFORMED_PROTOCOL,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
CH-007,CH,wrong Case protocol,reject without cross-Case data,implemented in current runtime,tests/test_mdl5_genie_hardening.py,tests/test_mdl5_genie_hardening.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,reject without cross-Case data,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl5_genie_hardening.py
CH-008,CH,unsupported Experiment,registered-set rejection,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,registered-set rejection,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
CH-009,CH,missing query,stable validation error,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,stable validation error,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
CH-010,CH,SQL timeout,retryable data error without commit,implemented in current runtime,tests/test_sql_models.py,tests/test_sql_models.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,retryable data error without commit,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_sql_models.py
CH-011,CH,SQL empty result,explicit empty-result handling,implemented in current runtime,tests/test_query_registry.py,tests/test_query_registry.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,explicit empty-result handling,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_query_registry.py
CH-012,CH,SQL wrong columns,EVIDENCE_SCHEMA_MISMATCH,implemented in current runtime,tests/test_query_registry.py,tests/test_query_registry.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,EVIDENCE_SCHEMA_MISMATCH,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_query_registry.py
CH-013,CH,reconciliation mismatch,RECONCILIATION_FAILED,implemented in current runtime,tests/test_query_registry.py,tests/test_query_registry.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,RECONCILIATION_FAILED,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_query_registry.py
CH-014,CH,warehouse pending,WAREHOUSE_PENDING,implemented in current runtime,tests/test_sql_models.py,tests/test_sql_models.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,WAREHOUSE_PENDING,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_sql_models.py
CH-015,CH,quota unavailable,WAREHOUSE_QUOTA_EXHAUSTED,implemented in current runtime,tests/test_sql_models.py,tests/test_sql_models.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,WAREHOUSE_QUOTA_EXHAUSTED,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_sql_models.py
CH-016,CH,browser network loss,recoverable UI state,implemented in current runtime,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,scripts/live_sql_check.py; scripts/deployed_smoke.py,recoverable UI state,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/browser/mdl6.spec.ts
CH-017,CH,network restoration,retry succeeds after restoration,implemented in current runtime,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,scripts/live_sql_check.py; scripts/deployed_smoke.py,retry succeeds after restoration,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/browser/mdl6.spec.ts
CH-018,CH,illustration 404,usable layout and decorative fallback,implemented in current runtime,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,scripts/live_sql_check.py; scripts/deployed_smoke.py,usable layout and decorative fallback,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/browser/mdl6.spec.ts
CH-019,CH,audio 404,functional muted/unavailable control,implemented in current runtime,tests/browser/app.spec.ts,tests/browser/app.spec.ts,tests/browser/app.spec.ts,scripts/live_sql_check.py; scripts/deployed_smoke.py,functional muted/unavailable control,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/browser/app.spec.ts
CH-020,CH,autoplay rejected,no blocking error loop,implemented in current runtime,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,tests/browser/mdl6.spec.ts,scripts/live_sql_check.py; scripts/deployed_smoke.py,no blocking error loop,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/browser/mdl6.spec.ts
CH-021,CH,duplicate POST race,single logical commit,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,single logical commit,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
CH-022,CH,backend restart/session loss,explicit non-corrupt recovery,implemented in current runtime,tests/test_mdl4_game_flow.py,tests/test_mdl4_game_flow.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,explicit non-corrupt recovery,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl4_game_flow.py
CH-023,CH,corrupted local preferences,safe defaults,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,safe defaults,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
CH-024,CH,long evidence field,bounded rendering and safe storage,implemented in current runtime,tests/test_mdl6_data_failures.py,tests/test_mdl6_data_failures.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,bounded rendering and safe storage,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_data_failures.py
CH-025,CH,Unicode business key/title,preserved and safely rendered,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,preserved and safely rendered,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
E2E-015,E2E,Genie timeout,dedicated end-to-end assertion,implemented in current runtime,tests/test_mdl6_resilience.py,tests/test_mdl6_resilience.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,dedicated end-to-end assertion,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_resilience.py
E2E-016,E2E,Genie failed,dedicated end-to-end assertion,implemented in current runtime,tests/test_mdl6_resilience.py,tests/test_mdl6_resilience.py,,scripts/live_sql_check.py; scripts/deployed_smoke.py,dedicated end-to-end assertion,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,tests/test_mdl6_resilience.py
E2E-017,E2E,missing query,dedicated end-to-end assertion,implemented in current runtime,scripts/local_chaos.py,scripts/local_chaos.py,scripts/local_chaos.py,scripts/live_sql_check.py; scripts/deployed_smoke.py,dedicated end-to-end assertion,PASS_IMPLEMENTED,,NOT_APPLICABLE,NOT_APPLICABLE,scripts/local_chaos.py
